N-samples,CNAME,e1_all_unsatgl_rm,e2_all_unsatgl_rm
225,RICHARD MILBURN,79,84
226,RICHARD MILBURN,79,87
227,RICHARD MILBURN,79,93
228,RICHARD MILBURN,90,91
229,RICHARD MILBURN,90,94
230,RICHARD MILBURN,90,92
231,RICHARD MILBURN,90,87
232,RICHARD MILBURN,90,93
233,RICHARD MILBURN,90,86
234,RICHARD MILBURN,90,85
235,RICHARD MILBURN,90,84
236,RICHARD MILBURN,90,87
237,RICHARD MILBURN,90,93
238,RICHARD MILBURN,90,91
239,RICHARD MILBURN,90,94
240,RICHARD MILBURN,90,92
241,RICHARD MILBURN,90,87
242,RICHARD MILBURN,90,93
243,RICHARD MILBURN,90,86
244,RICHARD MILBURN,90,85
245,RICHARD MILBURN,90,84
246,RICHARD MILBURN,90,87
247,RICHARD MILBURN,90,93
248,COVE CHARTER AC,64,50
249,CEDAR PARK CHAR,28,39
250,TEMPLE CHARTER,43,33
252,GATEWAY TECH H,31,38
253,GATEWAY COLLEGE,13,11
254,ACADEMY H S,31,28
255,BARTLETT SCHOOL,45,40
256,BELTON H S,39,36
257,BELTON NEW TECH,17,19
258,HOLLAND H S,24,20
259,KILLEEN H S,54,49
260,C E ELLISON H S,42,44
261,PATHWAYS ACADEM,76,77
262,HARKER HEIGHTS,34,31
263,ROBERT M SHOEMA,56,48
264,KILLEEN ISD EAR,6,2
265,BELL COUNTY JUV,75,50
266,ROGERS H S,48,44
267,SALADO H S,29,21
268,TEMPLE H S,56,50
269,FRED W EDWARDS,81,85
270,TROY H S,27,23
271,POR VIDA ACADEM,68,83
272,CORPUS CHRISTI,73,54
273,CESAR E CHAVEZ,60,76
274,GEORGE GERVIN A,25,41
275,FRANK L MADLA E,10,18
276,MILTON B LEE AC,46,31
277,SOUTHWEST PREPA,53,72
278,SOUTHWEST PREPA,53,52
279,SOUTHWEST PREPA,62,72
280,SOUTHWEST PREPA,62,52
281,NEW DIRECTIONS,63,58
282,JOHN H WOOD JR,87,82
283,JOHN H WOOD JR,87,82
284,JOHN H WOOD JR,87,95
285,JOHN H WOOD JR,83,82
286,JOHN H WOOD JR,83,82
287,JOHN H WOOD JR,83,95
288,JOHN H WOOD JR,84,82
289,JOHN H WOOD JR,84,82
290,JOHN H WOOD JR,84,95
291,ROCKDALE,66,67
292,ANNE FRANK INSP,18,20
293,MERIDELL,68,57
296,POSITIVE SOLUTI,80,55
297,HERITAGE ACADEM,66,56
298,SAN ANTONIO SCH,54,52
299,MONTICELLO,63,78
300,ATHLOS LEADERSH,62,55
301,ATHLOS LEADERSH,62,30
302,ATHLOS LEADERSH,24,55
303,ATHLOS LEADERSH,24,30
304,KIPP UNIVERSITY,46,37
305,SCHOOL OF SCIEN,19,11
306,SCHOOL OF SCIEN,19,29
307,SCHOOL OF SCIEN,19,0
308,SCHOOL OF SCIEN,44,11
309,SCHOOL OF SCIEN,44,29
310,SCHOOL OF SCIEN,44,0
311,SCHOOL OF SCIEN,1,11
312,SCHOOL OF SCIEN,1,29
313,SCHOOL OF SCIEN,1,0
314,HARMONY SCIENCE,39,23
315,HARMONY SCIENCE,39,29
316,HARMONY SCIENCE,39,30
317,HARMONY SCIENCE,39,13
318,HARMONY SCIENCE,39,28
319,HARMONY SCIENCE,39,29
320,HARMONY SCIENCE,39,21
321,HARMONY SCIENCE,39,35
322,HARMONY SCIENCE,39,24
323,HARMONY SCIENCE,39,20
324,HARMONY SCIENCE,39,33
325,HARMONY SCIENCE,16,23
326,HARMONY SCIENCE,16,29
327,HARMONY SCIENCE,16,30
328,HARMONY SCIENCE,16,13
329,HARMONY SCIENCE,16,28
330,HARMONY SCIENCE,16,29
331,HARMONY SCIENCE,16,21
332,HARMONY SCIENCE,16,35
333,HARMONY SCIENCE,16,24
334,HARMONY SCIENCE,16,20
335,HARMONY SCIENCE,16,33
336,HARMONY SCIENCE,30,23
337,HARMONY SCIENCE,30,29
