N-samples,CNAME,e1_all_unsatgl_rm,e2_all_unsatgl_rm
890,DALLAS CAN ACAD,68,70
891,DALLAS CAN ACAD,68,73
892,DALLAS CAN ACAD,68,82
893,DALLAS CAN ACAD,79,71
894,DALLAS CAN ACAD,79,76
895,DALLAS CAN ACAD,79,70
896,DALLAS CAN ACAD,79,73
897,DALLAS CAN ACAD,79,82
898,DALLAS CAN ACAD,81,71
899,DALLAS CAN ACAD,81,76
900,DALLAS CAN ACAD,81,70
901,DALLAS CAN ACAD,81,73
902,DALLAS CAN ACAD,81,82
903,DALLAS CAN ACAD,78,71
904,DALLAS CAN ACAD,78,76
905,DALLAS CAN ACAD,78,70
906,DALLAS CAN ACAD,78,73
907,DALLAS CAN ACAD,78,82
908,DALLAS CAN ACAD,88,71
909,DALLAS CAN ACAD,88,76
910,DALLAS CAN ACAD,88,70
911,DALLAS CAN ACAD,88,73
912,DALLAS CAN ACAD,88,82
913,AUSTIN CAN ACAD,89,82
914,FORT WORTH CAN,82,83
915,FORT WORTH CAN,82,83
916,FORT WORTH CAN,85,83
917,FORT WORTH CAN,85,83
918,HOUSTON CAN ACA,87,83
919,HOUSTON CAN ACA,87,77
920,HOUSTON CAN ACA,87,73
921,HOUSTON CAN ACA,72,83
922,HOUSTON CAN ACA,72,77
923,HOUSTON CAN ACA,72,73
924,HOUSTON CAN ACA,89,83
925,HOUSTON CAN ACA,89,77
926,HOUSTON CAN ACA,89,73
927,SAN ANTONIO CAN,82,62
928,GARLAND CAN ACA,79,71
929,ADVANTAGE ACADE,65,56
930,LIFE SCHOOL OAK,37,35
931,LIFE H S WAXAHA,28,32
932,UNIVERSAL ACADE,44,20
933,UNIVERSAL ACADE,44,20
934,UNIVERSAL ACADE,14,20
935,UNIVERSAL ACADE,14,20
936,DALLAS COUNTY J,75,81
943,MEDLOCK YOUTH V,82,75
944,SAU CAMPUS,92,90
946,FOCUS LEARNING,60,46
947,JEAN MASSIEU AC,25,50
948,WINFREE ACADEMY,80,84
949,WINFREE ACADEMY,80,86
950,WINFREE ACADEMY,80,66
951,WINFREE ACADEMY,80,68
952,WINFREE ACADEMY,80,63
953,WINFREE ACADEMY,80,71
954,WINFREE ACADEMY,84,84
955,WINFREE ACADEMY,84,86
956,WINFREE ACADEMY,84,66
957,WINFREE ACADEMY,84,68
958,WINFREE ACADEMY,84,63
959,WINFREE ACADEMY,84,71
960,WINFREE ACADEMY,76,84
961,WINFREE ACADEMY,76,86
962,WINFREE ACADEMY,76,66
963,WINFREE ACADEMY,76,68
964,WINFREE ACADEMY,76,63
965,WINFREE ACADEMY,76,71
966,WINFREE ACADEMY,74,84
967,WINFREE ACADEMY,74,86
968,WINFREE ACADEMY,74,66
969,WINFREE ACADEMY,74,68
970,WINFREE ACADEMY,74,63
971,WINFREE ACADEMY,74,71
972,WINFREE ACADEMY,83,84
973,WINFREE ACADEMY,83,86
974,WINFREE ACADEMY,83,66
975,WINFREE ACADEMY,83,68
976,WINFREE ACADEMY,83,63
977,WINFREE ACADEMY,83,71
978,WINFREE ACADEMY,73,84
979,WINFREE ACADEMY,73,86
980,WINFREE ACADEMY,73,66
981,WINFREE ACADEMY,73,68
982,WINFREE ACADEMY,73,63
983,WINFREE ACADEMY,73,71
984,A+ ACADEMY,47,60
985,INSPIRED VISION,48,53
986,GATEWAY CHARTER,80,75
987,GATEWAY CHARTER,80,25
988,GATEWAY CHARTER,42,75
989,GATEWAY CHARTER,42,25
990,EVOLUTION ACADE,85,81
991,EVOLUTION ACADE,85,80
992,EVOLUTION ACADE,85,78
993,EVOLUTION ACADE,83,81
994,EVOLUTION ACADE,83,80
995,EVOLUTION ACADE,83,78
996,EVOLUTION ACADE,83,81
997,EVOLUTION ACADE,83,80
998,EVOLUTION ACADE,83,78
999,MANARA LEADERSH,52,21
1000,UME PREPARATORY,25,28
1001,LEGACY PREPARAT,54,45
1002,LEGACY PREPARAT,54,27
1003,LEGACY PREPARAT,33,45
1004,LEGACY PREPARAT,33,27
1005,VILLAGE TECH SC,27,40
1006,INTERNATIONAL L,0,23
1007,INTERNATIONAL L,0,38
1008,INTERNATIONAL L,0,14
1009,INTERNATIONAL L,33,23
1010,INTERNATIONAL L,33,38
1011,INTERNATIONAL L,33,14
1012,INTERNATIONAL L,3,23
1013,INTERNATIONAL L,3,38
1014,INTERNATIONAL L,3,14
1015,INTERNATIONAL L,42,23
1016,INTERNATIONAL L,42,38
1017,INTERNATIONAL L,42,14
1018,INTERNATIONAL L,0,23
1019,INTERNATIONAL L,0,38
1020,INTERNATIONAL L,0,14
1021,INTERNATIONAL L,17,23
1022,INTERNATIONAL L,17,38
1023,INTERNATIONAL L,17,14
1024,TURNER H S,44,43
1025,SMITH H S,45,38
1026,CREEKVIEW H S,33,29
1027,RANCHVIEW H S,43,43
1028,CEDAR HILL H S,79,46
1029,NINTH GRADE CEN,42,3
1030,CEDAR HILL COLL,8,0
1031,BRYAN ADAMS H S,48,49
1032,W H ADAMSON H S,54,55
1033,A MACEO SMITH N,38,37
1034,MOISES E MOLINA,51,47
1035,HILLCREST H S,50,49
1036,THOMAS JEFFERSO,59,58
1037,JUSTIN F KIMBAL,64,53
1038,LINCOLN HUMANIT,73,65
1039,L G PINKSTON H,55,62
1040,FRANKLIN D ROOS,71,63
1041,W W SAMUELL H S,62,60
1042,SEAGOVILLE H S,57,55
1043,SOUTH OAK CLIFF,70,69
1044,H GRADY SPRUCE,67,62
1045,SUNSET H S,53,52
1046,W T WHITE H S,52,48
1047,WOODROW WILSON,42,35
1051,DAVID W CARTER,67,63
1052,NORTH DALLAS H,65,55
1053,SKYLINE H S,45,42
1054,EMMETT J CONRAD,59,67
1055,JAMES MADISON H,65,67
1056,SCHOOL OF BUSIN,2,0
1057,BOOKER T WASHIN,4,3
1058,IRMA LERMA RANG,1,0
1059,SCHOOL OF HEALT,0,0
1060,ROSIE SORRELLS,3,2
1061,JUDGE BAREFOOT,1,1
1062,SCHOOL FOR THE,0,0
1063,WILLIAM B TRAVI,0,19
1064,WILLIAM B TRAVI,17,19
1065,KATHLYN JOY GIL,8,5
1066,TRINIDAD GARZA,0,1
1067,DR WRIGHT L LAS,0,0
1069,HOSPITAL/HOMEBO,81,77
1070,WILMER-HUTCHINS,66,63
1071,BARACK OBAMA MA,2,2
1072,INNOVATION DESI,47,44
1073,JOHN LESLIE PAT,91,92
1074,DESOTO H S & IS,56,51
1075,WINGS (WHERE I,71,63
1077,DUNCANVILLE H S,55,46
1078,MARY E SMITHEY,64,80
1079,GARLAND H S,49,43
1080,S GARLAND H S,62,61
1081,N GARLAND H S,36,32
1082,LAKEVIEW CENTEN,36,32
1083,MEMORIAL PATHWA,95,88
1084,NAAMAN FOREST H,48,42
1085,ROWLETT H S,39,32
1086,SACHSE H S,29,30
1087,PATHFINDER ACHI,85,89
1089,GRAND PRAIRIE H,65,57
1090,SOUTH GRAND PRA,40,39
1091,CROSSWINDS H S,90,87
1092,JOHN A DUBISKI,23,15
1093,GRAND PRAIRIE C,6,0
1094,YWLA AT BILL AR,11,20
1095,HIGHLAND PARK H,2,3
1096,HIGHLAND PARK H,2,20
1097,HIGHLAND PARK H,37,3
1098,HIGHLAND PARK H,37,20
1099,IRVING H S,65,48
1100,NIMITZ H S,55,46
1101,NIMITZ H S,55,49
1102,NIMITZ H S,79,46
1103,NIMITZ H S,79,49
1104,BARBARA CARDWEL,65,60
1105,JACK E SINGLEY,43,38
1106,LANCASTER H S,50,47
1107,MESQUITE H S,50,41
1108,NORTH MESQUITE,46,45
1109,WEST MESQUITE H,52,44
1110,HORN H S,39,40
1112,MESQUITE ACADEM,77,81
1113,LAKE HIGHLANDS,47,42
1114,RICHARDSON H S,26,25
1115,PEARCE H S,28,29
1116,BERKNER H S,39,37
1117,SUNNYVALE H S,11,9
1118,COPPELL H S,10,11
1119,NEW TECH H S AT,14,16
1120,DAWSON SCHOOL,45,36
1121,KLONDIKE ISD,0,13
1122,LAMESA H S,54,54
1123,LAMESA SUCCESS,83,88
1124,SANDS CISD,38,31
1125,HEREFORD H S,55,53
1126,HEREFORD CENTER,81,81
1127,COOPER H S,33,28
1128,COOPER H S,33,38
1129,COOPER H S,40,28
1130,COOPER H S,40,38
1131,FANNINDEL H S,56,47
1132,RYAN H S,40,40
1133,DENTON H S,44,41
1134,GUYER H S,20,20
1135,RAY E BRASWELL,32,34
1137,JOE DALE SPARKS,75,50
1138,LEWISVILLE H S,39,44
1139,MARCUS H S,67,16
1140,THE COLONY H S,37,25
1141,LEARNING CTR,85,82
1142,HEBRON H S,73,21
1143,FLOWER MOUND H,77,8
1146,PILOT POINT H S,20,26
1147,KRUM H S,28,30
1149,PONDER H S,33,17
1150,AUBREY H S,25,24
1151,SANGER H S,35,28
1152,LINDA TUTT H S,100,67
1153,ARGYLE H S,7,8
1154,NORTHWEST H S,30,30
1156,BYRON NELSON H,16,15
1157,JAMES M STEELE,3,5
1158,V R EATON H S,18,20
1159,LAKE DALLAS H S,31,33
1160,LITTLE ELM H S,38,30
1161,CUERO H S,41,36
1162,NORDHEIM SCHOOL,81,82
1163,YOAKUM H S,43,45
1164,YORKTOWN H S,39,48
1165,SPUR SCHOOL,31,40
1166,PATTON SPRINGS,38,17
1167,CARRIZO SPRINGS,56,50
1168,CLARENDON H S,26,28
1169,HEDLEY SCHOOL,60,33
1170,BENAVIDES SECON,55,58
1171,SAN DIEGO H S,52,61
1172,FREER H S,77,83
1173,CISCO H S,14,16
1175,EASTLAND H S,40,51
1176,GORMAN H S,50,38
1177,RANGER H S,57,41
1178,RISING STAR H S,14,0
1179,ODESSA H S,67,60
1180,PERMIAN H S,49,41
1181,ALTER ED CTR,78,79
1182,ECTOR CO YOUTH,83,67
1183,GEORGE H W BUSH,26,22
1184,ODESSA CAREER A,28,16
1185,ECISD FALCON EA,10,13
1186,ROCKSPRINGS K-1,53,43
1187,NUECES CANYON J,33,23
1188,OAK CLIFF FAITH,73,66
1189,AVALON SCHOOL,47,39
1190,ENNIS H S,42,44
1191,FERRIS H S,52,52
1192,ITALY H S,40,33
1193,MIDLOTHIAN H S,32,27
1194,MIDLOTHIAN HERI,15,21
1195,MILFORD SCHOOL,29,20
1196,PALMER H S,25,27
1197,RED OAK H S,37,31
1198,WAXAHACHIE H S,40,34
1199,WAXAHACHIE H S,40,100
1202,WAXAHACHIE GLOB,1,4
1203,MAYPEARL H S,25,35
1204,DAVINCI SCHOOL,31,22
1205,PASO DEL NORTE,71,60
1206,PASEO DEL NORTE,58,49
1207,EL PASO ACADEMY,82,78
1208,EL PASO ACADEMY,82,85
1209,EL PASO ACADEMY,73,78
1210,EL PASO ACADEMY,73,85
1211,HARMONY SCHOOL,34,30
1212,HARMONY SCHOOL,34,28
1213,HARMONY SCHOOL,34,17
1214,HARMONY SCHOOL,34,18
1215,HARMONY SCHOOL,34,11
1216,HARMONY SCHOOL,34,10
1217,HARMONY SCHOOL,34,21
1218,HARMONY SCHOOL,34,23
1219,HARMONY SCHOOL,34,27
1220,HARMONY SCHOOL,34,12
1221,HARMONY SCHOOL,34,17
1222,HARMONY SCHOOL,34,45
1223,HARMONY SCHOOL,43,30
1224,HARMONY SCHOOL,43,28
1225,HARMONY SCHOOL,43,17
1226,HARMONY SCHOOL,43,18
1227,HARMONY SCHOOL,43,11
1228,HARMONY SCHOOL,43,10
1229,HARMONY SCHOOL,43,21
1230,HARMONY SCHOOL,43,23
1231,HARMONY SCHOOL,43,27
1232,HARMONY SCHOOL,43,12
1233,HARMONY SCHOOL,43,17
1234,HARMONY SCHOOL,43,45
1235,HARMONY SCHOOL,25,30
1236,HARMONY SCHOOL,25,28
1237,HARMONY SCHOOL,25,17
1238,HARMONY SCHOOL,25,18
1239,HARMONY SCHOOL,25,11
1240,HARMONY SCHOOL,25,10
1241,HARMONY SCHOOL,25,21
1242,HARMONY SCHOOL,25,23
1243,HARMONY SCHOOL,25,27
1244,HARMONY SCHOOL,25,12
1245,HARMONY SCHOOL,25,17
1246,HARMONY SCHOOL,25,45
1247,HARMONY SCHOOL,23,30
1248,HARMONY SCHOOL,23,28
1249,HARMONY SCHOOL,23,17
1250,HARMONY SCHOOL,23,18
1251,HARMONY SCHOOL,23,11
1252,HARMONY SCHOOL,23,10
1253,HARMONY SCHOOL,23,21
1254,HARMONY SCHOOL,23,23
1255,HARMONY SCHOOL,23,27
1256,HARMONY SCHOOL,23,12
1257,HARMONY SCHOOL,23,17
1258,HARMONY SCHOOL,23,45
1259,HARMONY SCHOOL,10,30
1260,HARMONY SCHOOL,10,28
1261,HARMONY SCHOOL,10,17
1262,HARMONY SCHOOL,10,18
1263,HARMONY SCHOOL,10,11
1264,HARMONY SCHOOL,10,10
1265,HARMONY SCHOOL,10,21
1266,HARMONY SCHOOL,10,23
1267,HARMONY SCHOOL,10,27
1268,HARMONY SCHOOL,10,12
1269,HARMONY SCHOOL,10,17
1270,HARMONY SCHOOL,10,45
1271,HARMONY SCHOOL,7,30
1272,HARMONY SCHOOL,7,28
1273,HARMONY SCHOOL,7,17
1274,HARMONY SCHOOL,7,18
1275,HARMONY SCHOOL,7,11
1276,HARMONY SCHOOL,7,10
1277,HARMONY SCHOOL,7,21
1278,HARMONY SCHOOL,7,23
1279,HARMONY SCHOOL,7,27
1280,HARMONY SCHOOL,7,12
1281,HARMONY SCHOOL,7,17
1282,HARMONY SCHOOL,7,45
1283,HARMONY SCHOOL,20,30
1284,HARMONY SCHOOL,20,28
1285,HARMONY SCHOOL,20,17
1286,HARMONY SCHOOL,20,18
1287,HARMONY SCHOOL,20,11
1288,HARMONY SCHOOL,20,10
1289,HARMONY SCHOOL,20,21
1290,HARMONY SCHOOL,20,23
1291,HARMONY SCHOOL,20,27
1292,HARMONY SCHOOL,20,12
1293,HARMONY SCHOOL,20,17
1294,HARMONY SCHOOL,20,45
1295,HARMONY SCHOOL,22,30
1296,HARMONY SCHOOL,22,28
1297,HARMONY SCHOOL,22,17
1298,HARMONY SCHOOL,22,18
1299,HARMONY SCHOOL,22,11
1300,HARMONY SCHOOL,22,10
1301,HARMONY SCHOOL,22,21
1302,HARMONY SCHOOL,22,23
1303,HARMONY SCHOOL,22,27
1304,HARMONY SCHOOL,22,12
1305,HARMONY SCHOOL,22,17
1306,HARMONY SCHOOL,22,45
1307,HARMONY SCHOOL,36,30
1308,HARMONY SCHOOL,36,28
1309,HARMONY SCHOOL,36,17
1310,HARMONY SCHOOL,36,18
1311,HARMONY SCHOOL,36,11
1312,HARMONY SCHOOL,36,10
1313,HARMONY SCHOOL,36,21
1314,HARMONY SCHOOL,36,23
1315,HARMONY SCHOOL,36,27
1316,HARMONY SCHOOL,36,12
1317,HARMONY SCHOOL,36,17
1318,HARMONY SCHOOL,36,45
1319,HARMONY SCHOOL,15,30
1320,HARMONY SCHOOL,15,28
1321,HARMONY SCHOOL,15,17
1322,HARMONY SCHOOL,15,18
1323,HARMONY SCHOOL,15,11
1324,HARMONY SCHOOL,15,10
1325,HARMONY SCHOOL,15,21
1326,HARMONY SCHOOL,15,23
1327,HARMONY SCHOOL,15,27
1328,HARMONY SCHOOL,15,12
1329,HARMONY SCHOOL,15,17
1330,HARMONY SCHOOL,15,45
1331,HARMONY SCHOOL,27,30
1332,HARMONY SCHOOL,27,28
1333,HARMONY SCHOOL,27,17
1334,HARMONY SCHOOL,27,18
1335,HARMONY SCHOOL,27,11
1336,HARMONY SCHOOL,27,10
1337,HARMONY SCHOOL,27,21
1338,HARMONY SCHOOL,27,23
1339,HARMONY SCHOOL,27,27
1340,HARMONY SCHOOL,27,12
1341,HARMONY SCHOOL,27,17
1342,HARMONY SCHOOL,27,45
1343,HARMONY SCHOOL,58,30
1344,HARMONY SCHOOL,58,28
1345,HARMONY SCHOOL,58,17
1346,HARMONY SCHOOL,58,18
1347,HARMONY SCHOOL,58,11
1348,HARMONY SCHOOL,58,10
1349,HARMONY SCHOOL,58,21
1350,HARMONY SCHOOL,58,23
1351,HARMONY SCHOOL,58,27
1352,HARMONY SCHOOL,58,12
1353,HARMONY SCHOOL,58,17
1354,HARMONY SCHOOL,58,45
1355,CLINT H S,42,40
1356,MOUNTAIN VIEW H,50,48
1357,HORIZON H S,55,43
1358,CLINT ISD EARLY,8,5
1359,ANDRESS H S,63,51
1360,AUSTIN H S,62,56
1361,AUSTIN H S,62,61
1362,AUSTIN H S,62,18
1363,AUSTIN H S,65,56
1364,AUSTIN H S,65,61
1365,AUSTIN H S,65,18
1366,AUSTIN H S,18,56
1367,AUSTIN H S,18,61
1368,AUSTIN H S,18,18
1369,BOWIE H S,73,72
1370,BOWIE H S,73,26
1371,BOWIE H S,73,42
1372,BOWIE H S,73,7
1373,BOWIE H S,37,72
1374,BOWIE H S,37,26
1375,BOWIE H S,37,42
1376,BOWIE H S,37,7
1377,BOWIE H S,46,72
1378,BOWIE H S,46,26
1379,BOWIE H S,46,42
1380,BOWIE H S,46,7
1381,BOWIE H S,10,72
1382,BOWIE H S,10,26
1383,BOWIE H S,10,42
1384,BOWIE H S,10,7
1385,BURGES H S,49,42
1386,CORONADO H S,33,29
1387,CORONADO H S,33,43
1388,CORONADO H S,45,29
1389,CORONADO H S,45,43
1390,EL PASO H S,45,42
1391,IRVIN H S,61,57
1392,FRANKLIN H S,35,35
1393,FRANKLIN H S,35,24
1394,FRANKLIN H S,19,35
1395,FRANKLIN H S,19,24
1396,SILVA HEALTH MA,2,1
1397,CHAPIN H S,42,34
1398,TRANSMOUNTAIN E,4,3
1399,COLLEGE CAREER,82,89
1400,COLLEGE CAREER,82,100
1401,COLLEGE CAREER,90,89
1402,COLLEGE CAREER,90,100
1404,FABENS H S,49,46
1405,SAN ELIZARIO H,47,50
1406,BEL AIR H S,37,39
1407,EASTWOOD H S,22,19
1408,PARKLAND H S,43,43
1409,YSLETA H S,51,56
1410,RIVERSIDE H S,56,56
1411,J M HANKS H S,37,30
1412,DEL VALLE H S,37,35
1413,DEL VALLE H S,37,48
1414,DEL VALLE H S,57,35
1415,DEL VALLE H S,57,48
1416,TEJAS SCHOOL OF,87,87
1417,VALLE VERDE EAR,3,7
1418,PLATO ACADEMY,89,94
1419,ANTHONY H S,39,31
1420,CANUTILLO H S,46,50
1421,NORTHWEST EARLY,5,3
1422,TORNILLO H S,63,57
1423,SOCORRO H S,55,53
1424,MONTWOOD H S,38,36
1425,AMERICAS H S,39,39
1426,EL DORADO H S,39,33
1427,MISSION EARLY C,4,2
1428,EASTLAKE H S,43,38
1429,OPTIONS H S,83,86
1430,PEBBLE HILLS H,39,34
1431,PREMIER H S OF,53,60
1432,PREMIER H S OF,53,29
1433,PREMIER H S OF,53,46
1434,PREMIER H S OF,53,38
1435,PREMIER H S OF,53,75
1436,PREMIER H S OF,53,73
1437,PREMIER H S OF,53,60
1438,PREMIER H S OF,53,50
1439,PREMIER H S OF,53,29
1440,PREMIER H S OF,53,40
1441,PREMIER H S OF,53,59
1442,PREMIER H S OF,53,81
1443,PREMIER H S OF,53,27
1444,PREMIER H S OF,53,67
1445,PREMIER H S OF,53,65
1446,PREMIER H S OF,53,55
1447,PREMIER H S OF,53,74
1448,PREMIER H S OF,53,64
1449,PREMIER H S OF,53,75
1450,PREMIER H S OF,53,33
1451,PREMIER H S OF,53,38
1452,PREMIER H S OF,53,36
1453,PREMIER H S OF,53,54
1454,PREMIER H S OF,53,75
1455,PREMIER H S OF,53,43
1456,PREMIER H S OF,53,57
1457,PREMIER H S OF,53,80
1458,PREMIER H S OF,53,60
1459,PREMIER H S OF,53,36
1460,PREMIER H S OF,53,69
1461,PREMIER H S OF,30,60
1462,PREMIER H S OF,30,29
1463,PREMIER H S OF,30,46
1464,PREMIER H S OF,30,38
1465,PREMIER H S OF,30,75
1466,PREMIER H S OF,30,73
1467,PREMIER H S OF,30,60
1468,PREMIER H S OF,30,50
1469,PREMIER H S OF,30,29
1470,PREMIER H S OF,30,40
1471,PREMIER H S OF,30,59
1472,PREMIER H S OF,30,81
1473,PREMIER H S OF,30,27
1474,PREMIER H S OF,30,67
1475,PREMIER H S OF,30,65
1476,PREMIER H S OF,30,55
1477,PREMIER H S OF,30,74
1478,PREMIER H S OF,30,64
1479,PREMIER H S OF,30,75
1480,PREMIER H S OF,30,33
1481,PREMIER H S OF,30,38
1482,PREMIER H S OF,30,36
1483,PREMIER H S OF,30,54
1484,PREMIER H S OF,30,75
1485,PREMIER H S OF,30,43
1486,PREMIER H S OF,30,57
1487,PREMIER H S OF,30,80
1488,PREMIER H S OF,30,60
1489,PREMIER H S OF,30,36
1490,PREMIER H S OF,30,69
1491,PREMIER H S OF,55,60
1492,PREMIER H S OF,55,29
1493,PREMIER H S OF,55,46
1494,PREMIER H S OF,55,38
1495,PREMIER H S OF,55,75
1496,PREMIER H S OF,55,73
1497,PREMIER H S OF,55,60
1498,PREMIER H S OF,55,50
1499,PREMIER H S OF,55,29
1500,PREMIER H S OF,55,40
1501,PREMIER H S OF,55,59
1502,PREMIER H S OF,55,81
1503,PREMIER H S OF,55,27
1504,PREMIER H S OF,55,67
1505,PREMIER H S OF,55,65
1506,PREMIER H S OF,55,55
1507,PREMIER H S OF,55,74
1508,PREMIER H S OF,55,64
1509,PREMIER H S OF,55,75
1510,PREMIER H S OF,55,33
1511,PREMIER H S OF,55,38
1512,PREMIER H S OF,55,36
1513,PREMIER H S OF,55,54
1514,PREMIER H S OF,55,75
1515,PREMIER H S OF,55,43
1516,PREMIER H S OF,55,57
1517,PREMIER H S OF,55,80
1518,PREMIER H S OF,55,60
1519,PREMIER H S OF,55,36
1520,PREMIER H S OF,55,69
1521,PREMIER H S OF,75,60
1522,PREMIER H S OF,75,29
1523,PREMIER H S OF,75,46
1524,PREMIER H S OF,75,38
1525,PREMIER H S OF,75,75
1526,PREMIER H S OF,75,73
1527,PREMIER H S OF,75,60
1528,PREMIER H S OF,75,50
1529,PREMIER H S OF,75,29
1530,PREMIER H S OF,75,40
1531,PREMIER H S OF,75,59
1532,PREMIER H S OF,75,81
1533,PREMIER H S OF,75,27
1534,PREMIER H S OF,75,67
1535,PREMIER H S OF,75,65
1536,PREMIER H S OF,75,55
1537,PREMIER H S OF,75,74
1538,PREMIER H S OF,75,64
1539,PREMIER H S OF,75,75
1540,PREMIER H S OF,75,33
1541,PREMIER H S OF,75,38
1542,PREMIER H S OF,75,36
1543,PREMIER H S OF,75,54
1544,PREMIER H S OF,75,75
1545,PREMIER H S OF,75,43
1546,PREMIER H S OF,75,57
1547,PREMIER H S OF,75,80
1548,PREMIER H S OF,75,60
1549,PREMIER H S OF,75,36
1550,PREMIER H S OF,75,69
1551,PREMIER H S OF,73,60
1552,PREMIER H S OF,73,29
1553,PREMIER H S OF,73,46
1554,PREMIER H S OF,73,38
1555,PREMIER H S OF,73,75
1556,PREMIER H S OF,73,73
1557,PREMIER H S OF,73,60
1558,PREMIER H S OF,73,50
1559,PREMIER H S OF,73,29
1560,PREMIER H S OF,73,40
1561,PREMIER H S OF,73,59
1562,PREMIER H S OF,73,81
1563,PREMIER H S OF,73,27
1564,PREMIER H S OF,73,67
1565,PREMIER H S OF,73,65
1566,PREMIER H S OF,73,55
1567,PREMIER H S OF,73,74
1568,PREMIER H S OF,73,64
1569,PREMIER H S OF,73,75
1570,PREMIER H S OF,73,33
1571,PREMIER H S OF,73,38
1572,PREMIER H S OF,73,36
1573,PREMIER H S OF,73,54
1574,PREMIER H S OF,73,75
1575,PREMIER H S OF,73,43
1576,PREMIER H S OF,73,57
1577,PREMIER H S OF,73,80
1578,PREMIER H S OF,73,60
1579,PREMIER H S OF,73,36
1580,PREMIER H S OF,73,69
1581,PREMIER H S OF,63,60
1582,PREMIER H S OF,63,29
1583,PREMIER H S OF,63,46
1584,PREMIER H S OF,63,38
1585,PREMIER H S OF,63,75
1586,PREMIER H S OF,63,73
1587,PREMIER H S OF,63,60
1588,PREMIER H S OF,63,50
1589,PREMIER H S OF,63,29
1590,PREMIER H S OF,63,40
1591,PREMIER H S OF,63,59
1592,PREMIER H S OF,63,81
1593,PREMIER H S OF,63,27
1594,PREMIER H S OF,63,67
1595,PREMIER H S OF,63,65
1596,PREMIER H S OF,63,55
1597,PREMIER H S OF,63,74
1598,PREMIER H S OF,63,64
1599,PREMIER H S OF,63,75
1600,PREMIER H S OF,63,33
1601,PREMIER H S OF,63,38
1602,PREMIER H S OF,63,36
1603,PREMIER H S OF,63,54
1604,PREMIER H S OF,63,75
1605,PREMIER H S OF,63,43
1606,PREMIER H S OF,63,57
1607,PREMIER H S OF,63,80
1608,PREMIER H S OF,63,60
1609,PREMIER H S OF,63,36
1610,PREMIER H S OF,63,69
1611,PREMIER H S OF,67,60
1612,PREMIER H S OF,67,29
1613,PREMIER H S OF,67,46
1614,PREMIER H S OF,67,38
1615,PREMIER H S OF,67,75
1616,PREMIER H S OF,67,73
1617,PREMIER H S OF,67,60
1618,PREMIER H S OF,67,50
1619,PREMIER H S OF,67,29
1620,PREMIER H S OF,67,40
1621,PREMIER H S OF,67,59
1622,PREMIER H S OF,67,81
1623,PREMIER H S OF,67,27
1624,PREMIER H S OF,67,67
1625,PREMIER H S OF,67,65
1626,PREMIER H S OF,67,55
1627,PREMIER H S OF,67,74
1628,PREMIER H S OF,67,64
1629,PREMIER H S OF,67,75
1630,PREMIER H S OF,67,33
1631,PREMIER H S OF,67,38
1632,PREMIER H S OF,67,36
1633,PREMIER H S OF,67,54
1634,PREMIER H S OF,67,75
1635,PREMIER H S OF,67,43
1636,PREMIER H S OF,67,57
1637,PREMIER H S OF,67,80
1638,PREMIER H S OF,67,60
1639,PREMIER H S OF,67,36
1640,PREMIER H S OF,67,69
1641,PREMIER H S OF,62,60
1642,PREMIER H S OF,62,29
1643,PREMIER H S OF,62,46
1644,PREMIER H S OF,62,38
1645,PREMIER H S OF,62,75
1646,PREMIER H S OF,62,73
1647,PREMIER H S OF,62,60
1648,PREMIER H S OF,62,50
1649,PREMIER H S OF,62,29
1650,PREMIER H S OF,62,40
1651,PREMIER H S OF,62,59
1652,PREMIER H S OF,62,81
1653,PREMIER H S OF,62,27
1654,PREMIER H S OF,62,67
1655,PREMIER H S OF,62,65
1656,PREMIER H S OF,62,55
1657,PREMIER H S OF,62,74
1658,PREMIER H S OF,62,64
1659,PREMIER H S OF,62,75
1660,PREMIER H S OF,62,33
1661,PREMIER H S OF,62,38
1662,PREMIER H S OF,62,36
1663,PREMIER H S OF,62,54
1664,PREMIER H S OF,62,75
1665,PREMIER H S OF,62,43
1666,PREMIER H S OF,62,57
1667,PREMIER H S OF,62,80
1668,PREMIER H S OF,62,60
1669,PREMIER H S OF,62,36
1670,PREMIER H S OF,62,69
1671,PREMIER H S OF,35,60
1672,PREMIER H S OF,35,29
1673,PREMIER H S OF,35,46
1674,PREMIER H S OF,35,38
1675,PREMIER H S OF,35,75
1676,PREMIER H S OF,35,73
1677,PREMIER H S OF,35,60
1678,PREMIER H S OF,35,50
1679,PREMIER H S OF,35,29
1680,PREMIER H S OF,35,40
1681,PREMIER H S OF,35,59
1682,PREMIER H S OF,35,81
1683,PREMIER H S OF,35,27
1684,PREMIER H S OF,35,67
1685,PREMIER H S OF,35,65
1686,PREMIER H S OF,35,55
1687,PREMIER H S OF,35,74
1688,PREMIER H S OF,35,64
1689,PREMIER H S OF,35,75
1690,PREMIER H S OF,35,33
1691,PREMIER H S OF,35,38
1692,PREMIER H S OF,35,36
1693,PREMIER H S OF,35,54
1694,PREMIER H S OF,35,75
1695,PREMIER H S OF,35,43
1696,PREMIER H S OF,35,57
1697,PREMIER H S OF,35,80
1698,PREMIER H S OF,35,60
1699,PREMIER H S OF,35,36
1700,PREMIER H S OF,35,69
1701,PREMIER H S OF,50,60
1702,PREMIER H S OF,50,29
1703,PREMIER H S OF,50,46
1704,PREMIER H S OF,50,38
